This is Ipopt version 3.14.16, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 215r 3.4268567e-03 2.39e-03 3.91e-01  -4.5 7.79e+00    -  8.63e-01 5.21e-02f  1
 216r 3.4280587e-03 2.39e-03 4.86e-01  -4.8 7.22e-01    -  1.00e+00 1.00e+00h  1
 217r 3.4281069e-03 2.39e-03 6.10e+00  -4.8 6.35e+00    -  2.53e-01 4.56e-02h  1
 218r 3.4201748e-03 2.39e-03 4.20e-01  -4.8 6.36e-01    -  9.85e-01 1.00e+00f  1
 219r 3.4326061e-03 2.00e-02 2.25e+00  -4.8 2.76e+00    -  8.34e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220r 3.4098245e-03 4.40e-03 7.13e-01  -4.8 6.85e-01    -  1.00e+00 1.00e+00h  1
 221r 3.3942421e-03 2.39e-03 4.94e-01  -4.8 4.43e-01    -  1.00e+00 1.00e+00h  1
 222r 3.3982020e-03 2.39e-03 4.04e-02  -4.8 1.73e-01    -  1.00e+00 1.00e+00h  1
 223r 3.4006485e-03 2.40e-03 5.35e-02  -5.5 2.39e-01    -  1.00e+00 1.00e+00f  1
 224r 3.5700956e-03 1.34e-01 2.29e+02  -4.6 2.08e+01    -  1.00e+00 2.94e-01f  1
 225r 3.4115678e-03 1.65e-01 3.55e+02  -4.8 4.17e+00    -  2.25e-01 1.00e+00h  1
 226r 3.4544688e-03 8.37e-02 1.03e+01  -4.8 3.46e+00    -  9.46e-01 1.00e+00h  1
 227r 3.3975735e-03 3.85e-02 1.17e+00  -4.8 2.17e+00    -  1.00e+00 1.00e+00h  1
 228r 3.3971660e-03 2.40e-03 1.03e-02  -4.8 1.22e-01    -  1.00e+00 1.00e+00h  1
 229r 3.3952525e-03 2.40e-03 5.97e-02  -5.6 1.46e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230r 3.4359797e-03 5.76e-02 1.45e+00  -5.3 3.40e+00    -  1.00e+00 1.00e+00h  1
 231r 3.3749594e-03 2.64e-02 3.14e+00  -5.4 1.93e+00    -  1.00e+00 1.00e+00h  1
 232r 3.3964235e-03 1.31e-02 1.63e+00  -5.4 2.96e+00    -  1.00e+00 1.00e+00h  1
 233r 3.3864050e-03 1.36e-02 2.95e+00  -5.4 7.27e+00    -  5.95e-01 6.87e-01h  1
 234r 3.3902963e-03 5.88e-03 1.14e+00  -5.4 3.27e+00    -  1.00e+00 1.00e+00f  1
 235r 3.3604689e-03 3.19e-02 4.74e+00  -5.4 5.47e+00    -  1.00e+00 9.42e-01h  1
 236r 3.3603320e-03 7.85e-03 1.07e+00  -5.4 3.27e+00    -  1.00e+00 1.00e+00h  1
 237r 3.3771077e-03 5.25e-03 2.76e+00  -5.4 2.72e+00    -  1.00e+00 1.00e+00h  1
 238r 3.3841655e-03 2.44e-03 5.86e-01  -5.4 6.90e-01    -  8.99e-01 1.00e+00h  1
 239r 3.3808580e-03 2.44e-03 1.10e+01  -5.5 7.54e-01    -  5.83e-01 1.86e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240r 3.3819414e-03 2.45e-03 2.06e+02  -4.9 1.66e+00    -  1.00e+00 4.30e-01f  1
 241r 3.3762192e-03 6.20e-03 2.06e+02  -5.0 2.81e+00    -  1.42e-01 4.08e-01h  1
 242r 3.3370898e-03 4.55e-02 2.08e+02  -5.0 8.05e+00    -  9.90e-02 5.58e-01f  1
 243r 3.3878407e-03 5.81e-02 1.90e+02  -5.0 4.69e+00    -  1.28e-01 1.00e+00f  1
 244r 3.3930102e-03 1.38e-02 3.51e+01  -5.0 3.63e+00    -  8.04e-01 1.00e+00h  1
 245r 3.3916162e-03 4.06e-03 2.28e+00  -5.0 4.67e-01    -  1.00e+00 6.77e-01h  1
 246r 3.3910837e-03 2.41e-03 1.05e-02  -5.0 1.06e-01    -  1.00e+00 1.00e+00h  1
 247r 3.3899368e-03 2.42e-03 3.53e-02  -5.8 1.21e-01    -  1.00e+00 1.00e+00f  1
 248r 3.3953459e-03 7.15e-03 4.39e+01  -6.1 4.86e+00    -  1.00e+00 7.85e-01f  1
 249r 3.3968052e-03 9.94e-02 1.77e+02  -5.1 1.58e+01    -  1.00e+00 6.87e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250r 3.3724615e-03 2.02e-02 1.83e+00  -5.3 3.25e+00    -  1.00e+00 1.00e+00h  1
 251r 3.3711840e-03 2.45e-03 7.80e-01  -5.3 3.86e-01    -  1.00e+00 1.00e+00h  1
 252r 3.3715361e-03 2.45e-03 6.17e-02  -5.3 3.42e-01    -  1.00e+00 1.00e+00h  1
 253r 3.3660472e-03 2.45e-03 4.67e-01  -5.3 5.54e-01    -  1.00e+00 1.00e+00h  1
 254r 3.3752384e-03 2.45e-03 1.81e-01  -5.3 9.66e-01    -  1.00e+00 1.00e+00H  1
 255r 3.3768336e-03 2.45e-03 1.32e-01  -6.0 1.59e+00    -  1.00e+00 2.45e-01f  1
 256r 3.3785097e-03 2.46e-03 3.40e+02  -4.5 1.22e+00    -  5.91e-01 3.03e-01f  1
 257r 3.3450977e-03 6.80e-02 4.69e+02  -4.9 4.58e+00    -  1.43e-01 8.47e-01h  1
 258r 3.3451027e-03 6.56e-02 3.74e+02  -4.9 6.98e+00    -  2.08e-01 3.53e-02h  1
 259r 3.3655056e-03 4.35e-02 1.51e+02  -4.9 3.81e+00    -  5.82e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260r 3.3434051e-03 2.36e-02 3.40e+01  -4.9 5.67e+00    -  7.71e-01 9.06e-01h  1
 261r 3.3563541e-03 2.42e-03 8.11e-01  -4.9 8.15e-01    -  1.00e+00 1.00e+00h  1
 262r 3.3895128e-03 4.69e-02 3.13e+00  -4.9 4.67e+00    -  1.00e+00 1.00e+00h  1
 263r 3.3923281e-03 2.40e-03 6.27e-02  -4.9 1.57e-01    -  1.00e+00 1.00e+00h  1
 264r 3.3900069e-03 2.40e-03 5.21e-01  -4.9 7.37e-01    -  1.00e+00 1.00e+00h  1
 265r 3.4005761e-03 2.40e-03 7.27e-01  -4.9 5.30e-01    -  1.00e+00 1.00e+00h  1
 266r 3.4005702e-03 2.40e-03 3.58e-02  -4.9 1.71e-01    -  1.00e+00 1.00e+00h  1
 267r 3.3991788e-03 2.40e-03 1.10e-02  -4.9 6.45e-02    -  1.00e+00 1.00e+00h  1
 268r 3.3963807e-03 2.40e-03 7.74e-02  -4.9 2.96e-01    -  1.00e+00 1.00e+00H  1
 269r 3.3987310e-03 2.41e-03 5.59e-02  -5.6 2.20e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270r 3.4607635e-03 1.12e-01 6.27e+01  -5.7 5.28e+00    -  5.52e-01 9.66e-01h  1
 271r 3.4231303e-03 3.46e-02 4.92e+01  -5.7 6.39e+00    -  2.42e-01 1.00e+00f  1
 272r 3.4219613e-03 3.42e-02 1.62e+01  -5.7 1.46e+01    -  7.40e-01 1.05e-02h  1
 273r 3.4189527e-03 1.04e-01 1.01e+01  -5.7 1.60e+01    -  9.46e-01 6.48e-01h  1
 274r 3.4182140e-03 1.03e-01 9.77e+00  -5.7 3.86e+00    -  2.38e-01 1.29e-02h  1
 275r 3.3971290e-03 5.43e-02 6.51e+00  -5.7 2.20e+00    -  1.00e+00 5.05e-01f  1
 276r 3.3705690e-03 1.51e-02 6.47e-01  -5.7 1.43e+00    -  1.00e+00 1.00e+00h  1
 277r 3.3704264e-03 2.48e-03 8.35e-02  -5.7 2.22e-01    -  1.00e+00 1.00e+00h  1
 278r 3.3726823e-03 2.47e-03 1.15e-02  -5.7 2.21e-01    -  1.00e+00 1.00e+00h  1
 279r 3.3749601e-03 2.47e-03 1.51e-02  -6.4 7.81e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280r 3.3776907e-03 7.17e-03 1.23e+02  -5.1 3.28e+00    -  1.67e-01 3.37e-01f  1
 281r 3.3698371e-03 1.31e-02 1.99e+01  -5.8 2.02e+00    -  2.95e-02 6.67e-01h  1
 282r 3.3702051e-03 1.18e-02 4.79e+01  -5.8 7.39e-01    -  1.00e+00 9.95e-02h  1
 283r 3.3771027e-03 2.47e-03 1.08e-01  -5.8 3.39e-01    -  1.00e+00 1.00e+00h  1
 284r 3.3774353e-03 2.48e-03 2.95e-02  -5.8 9.34e-02    -  1.00e+00 1.00e+00h  1
 285r 3.3772328e-03 2.47e-03 3.85e-03  -6.4 3.03e-02    -  1.00e+00 1.00e+00h  1
 286r 3.3846392e-03 1.08e-02 1.15e+02  -5.4 2.14e+00    -  1.00e+00 6.26e-01f  1
 287r 3.3693768e-03 2.60e-02 6.03e+01  -5.6 2.16e+00    -  6.76e-01 9.53e-01h  1
 288r 3.3692654e-03 2.35e-02 5.42e+01  -5.6 3.87e-01    -  1.04e-01 9.72e-02h  1
 289r 3.3694426e-03 1.85e-02 1.43e+01  -5.6 3.59e-01    -  1.00e+00 2.14e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290r 3.3731459e-03 2.47e-03 9.05e-02  -5.6 1.73e-01    -  1.00e+00 1.00e+00h  1
 291r 3.3734567e-03 2.47e-03 7.59e-03  -5.6 4.14e-02    -  1.00e+00 1.00e+00h  1
 292r 3.3737539e-03 2.47e-03 3.03e-03  -5.6 3.13e-02    -  1.00e+00 1.00e+00h  1
 293r 3.3737395e-03 2.47e-03 1.15e-02  -6.4 4.08e-02    -  1.00e+00 1.00e+00f  1
 294r 3.3730241e-03 2.47e-03 6.27e-02  -5.3 1.96e+00    -  9.10e-02 4.33e-02f  1
 295r 3.3730345e-03 2.47e-03 9.08e-01  -6.2 8.53e-01    -  1.00e+00 5.00e-03h  4
 296r 3.3730852e-03 2.47e-03 7.56e-01  -6.2 1.20e+00    -  7.84e-02 1.09e-02h  1
 297r 3.3767278e-03 2.07e-02 2.03e+01  -6.2 1.95e+00    -  6.53e-02 9.51e-01f  1
 298r 3.3766493e-03 1.57e-02 4.16e+00  -6.2 2.26e-01    -  7.51e-01 2.43e-01h  1
 299r 3.3770223e-03 1.39e-02 9.59e-01  -6.2 7.46e-01    -  1.00e+00 1.14e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300r 3.3820267e-03 2.50e-03 1.02e-01  -6.2 2.93e-01    -  1.00e+00 1.00e+00h  1
 301r 3.3822466e-03 2.50e-03 9.15e-03  -6.2 1.16e-01    -  1.00e+00 1.00e+00h  1
 302r 3.3817627e-03 2.50e-03 9.27e-03  -6.2 2.76e-02    -  1.00e+00 1.00e+00h  1
 303r 3.3813032e-03 2.50e-03 4.96e-03  -6.2 1.77e-02    -  1.00e+00 1.00e+00h  1
 304r 3.3811325e-03 2.50e-03 9.82e-03  -7.0 1.99e-02    -  1.00e+00 1.00e+00h  1
 305r 3.3805701e-03 2.50e-03 1.34e+00  -5.2 1.79e+00    -  1.00e+00 1.30e-01f  1
 306r 3.3640379e-03 3.80e-02 2.92e+01  -5.6 3.32e+00    -  8.03e-01 7.63e-01h  1
 307r 3.3640736e-03 2.48e-03 1.88e-01  -5.6 1.62e-01    -  3.90e-01 1.00e+00h  1
 308r 3.3672180e-03 2.47e-03 1.57e-02  -5.6 1.72e-01    -  1.00e+00 1.00e+00h  1
 309r 3.3706382e-03 2.47e-03 9.12e-03  -5.6 1.33e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 310r 3.3719535e-03 2.47e-03 3.25e-03  -5.6 4.19e-02    -  1.00e+00 1.00e+00h  1
 311r 3.3722641e-03 2.47e-03 1.41e-03  -5.6 1.16e-02    -  1.00e+00 1.00e+00h  1
 312r 3.3729641e-03 2.47e-03 6.95e-03  -6.3 5.01e-02    -  1.00e+00 1.00e+00f  1
 313r 3.3760511e-03 2.47e-03 8.08e-02  -6.4 1.60e+00    -  8.60e-02 1.55e-01h  1
 314r 3.3765970e-03 2.47e-03 9.29e-01  -6.4 2.49e+00    -  5.40e-01 2.63e-02f  1
 315r 3.3963496e-03 3.63e-02 1.33e+00  -6.4 2.47e+00    -  9.28e-01 9.74e-01f  1
 316r 3.3875445e-03 2.50e-03 6.44e-01  -6.4 3.79e-01    -  8.57e-01 1.00e+00h  1
 317r 3.3868723e-03 2.51e-03 1.79e-01  -6.4 2.25e-01    -  1.00e+00 2.25e-01h  1
 318r 3.3850317e-03 2.51e-03 2.94e-02  -6.4 1.49e-01    -  1.00e+00 1.00e+00h  1
 319r 3.3813409e-03 2.51e-03 2.72e-02  -6.4 1.07e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 320r 3.3818236e-03 2.51e-03 5.55e-03  -6.4 2.66e-02    -  1.00e+00 1.00e+00h  1
 321r 3.3818945e-03 2.51e-03 1.60e-03  -7.2 1.49e-02    -  1.00e+00 1.00e+00h  1
 322r 3.3822026e-03 2.51e-03 9.45e-01  -5.2 1.94e+00    -  5.51e-01 7.05e-02f  1
 323r 3.4013438e-03 1.23e-02 1.30e+02  -5.8 3.61e+00    -  9.57e-01 5.24e-01f  1
 324r 3.3891253e-03 9.52e-03 1.01e+02  -5.8 1.13e+00    -  1.73e-01 2.80e-01h  1
 325r 3.3869697e-03 6.99e-03 3.35e+01  -5.8 2.60e-01    -  1.00e+00 2.69e-01h  1
 326r 3.3773235e-03 2.47e-03 4.64e-02  -5.8 3.29e-01    -  1.00e+00 1.00e+00h  1
 327r 3.3765367e-03 2.48e-03 1.23e-02  -5.8 4.58e-02    -  1.00e+00 1.00e+00h  1
 328r 3.3765321e-03 2.48e-03 2.70e-03  -5.8 8.88e-03    -  1.00e+00 1.00e+00h  1
 329r 3.3769569e-03 2.48e-03 3.85e-03  -6.4 2.26e-02    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 330r 3.3895702e-03 1.17e-02 1.85e+01  -6.5 1.39e+00    -  3.30e-01 1.00e+00f  1
 331r 3.3914624e-03 5.66e-03 3.17e+00  -6.5 1.02e+00    -  8.16e-01 1.00e+00h  1
 332r 3.3818853e-03 2.51e-03 1.47e-01  -6.5 4.00e-01    -  9.85e-01 1.00e+00h  1
 333r 3.3826627e-03 2.51e-03 3.76e-02  -6.5 1.08e-01    -  3.70e-01 5.05e-01h  1
 334r 3.3815624e-03 2.51e-03 1.44e-02  -6.5 1.35e-01    -  1.00e+00 6.18e-01h  1
 335r 3.3812115e-03 2.52e-03 1.10e-01  -6.5 1.37e-01    -  1.00e+00 1.00e+00h  1
 336r 3.3821995e-03 2.51e-03 1.67e-02  -6.5 8.89e-02    -  1.00e+00 1.00e+00f  1
 337r 3.3823390e-03 2.51e-03 9.30e-03  -6.5 1.36e-02    -  1.00e+00 1.00e+00h  1
 338r 3.3824552e-03 2.51e-03 5.49e-03  -7.3 7.04e-03    -  1.00e+00 1.00e+00h  1
 339r 3.3817583e-03 2.52e-03 9.54e-01  -7.5 1.25e+00    -  1.00e+00 1.34e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 340r 3.3781055e-03 2.53e-03 4.28e+01  -6.2 1.87e+00    -  1.00e+00 3.33e-01h  1
 341r 3.3781557e-03 2.53e-03 3.60e+01  -6.4 1.46e+00    -  2.13e-01 6.47e-03h  1
 342r 3.3901961e-03 2.51e-03 1.38e+01  -6.4 9.67e-01    -  4.70e-01 1.00e+00f  1
 343r 3.3879334e-03 2.50e-03 6.59e-01  -6.4 3.97e-01    -  1.00e+00 1.79e-01h  1
 344r 3.3832612e-03 2.50e-03 4.44e-02  -6.4 1.72e-01    -  1.00e+00 1.00e+00h  1
 345r 3.3831530e-03 2.51e-03 3.70e-02  -6.4 6.78e-02    -  2.59e-01 7.57e-01h  1
 346r 3.3817836e-03 2.51e-03 1.32e-02  -6.4 5.01e-02    -  1.00e+00 1.00e+00f  1
 347r 3.3818514e-03 2.51e-03 6.80e-03  -6.4 1.48e-02    -  1.00e+00 1.00e+00h  1
 348r 3.3818523e-03 2.51e-03 5.37e-04  -6.4 2.83e-03    -  1.00e+00 1.00e+00h  1
 349r 3.3820132e-03 2.51e-03 2.50e-03  -7.2 1.04e-02    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 350r 3.3767029e-03 2.52e-03 1.27e+00  -6.1 3.33e+00    -  1.00e+00 7.79e-02f  1
 351r 3.3785532e-03 2.51e-03 4.23e-01  -6.4 6.10e-01    -  6.92e-01 1.73e-01h  1
 352r 3.3775405e-03 2.51e-03 3.42e-01  -6.4 1.51e+01    -  1.99e-01 4.79e-03h  1
 353r 3.3769867e-03 2.50e-03 1.62e-01  -6.4 9.78e-01    -  9.28e-01 3.38e-02h  1
 354r 3.3780425e-03 2.51e-03 1.39e-01  -6.4 2.07e+01    -  6.46e-02 3.54e-03h  1
 355r 3.3780563e-03 2.51e-03 7.13e-02  -6.4 1.04e-03    -  4.81e-01 1.00e+00h  1
 356r 3.3780571e-03 2.51e-03 6.46e-01  -6.4 3.34e+00    -  1.00e+00 1.21e-04h  1
 357r 3.3822959e-03 2.51e-03 1.52e-01  -6.4 1.12e+00    -  1.00e+00 2.50e-01f  3
 358r 3.3818482e-03 2.51e-03 1.02e-01  -6.4 2.26e-01    -  1.00e+00 2.00e-01h  1
 359r 3.3792203e-03 2.51e-03 1.19e-02  -6.4 1.84e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 360r 3.3795339e-03 2.51e-03 1.25e-02  -6.4 2.50e-02    -  1.00e+00 1.00e+00h  1
 361r 3.3802268e-03 2.51e-03 2.00e-02  -6.4 3.66e-02    -  1.00e+00 1.00e+00h  1
 362r 3.3807886e-03 2.51e-03 1.70e-02  -6.4 3.87e-02    -  1.00e+00 1.00e+00h  1
 363r 3.3812255e-03 2.51e-03 8.46e-03  -6.4 2.08e-02    -  1.00e+00 1.00e+00h  1
 364r 3.3814284e-03 2.51e-03 8.04e-03  -6.4 9.74e-03    -  1.00e+00 1.00e+00h  1
 365r 3.3815657e-03 2.51e-03 3.42e-03  -6.4 5.87e-03    -  1.00e+00 1.00e+00h  1
 366r 3.3816607e-03 2.51e-03 2.02e-03  -6.4 3.93e-03    -  1.00e+00 1.00e+00h  1
 367r 3.3817525e-03 2.51e-03 1.08e-03  -6.4 5.18e-03    -  1.00e+00 1.00e+00h  1
 368r 3.3817738e-03 2.51e-03 4.59e-04  -6.4 1.19e-03    -  1.00e+00 1.00e+00h  1
Restoration phase converged to a feasible point that is
unacceptable to the filter for the original problem.
Restoration phase in the restoration phase failed.

Number of Iterations....: 368

                                   (scaled)                 (unscaled)
Objective...............:   3.3817779968419222e-03    3.3817779968419222e-03
Dual infeasibility......:   2.9842834508974261e-03    2.9842834508974261e-03
Constraint violation....:   2.5095893235128177e-03    2.5095893235128177e-03
Variable bound violation:   5.9195899015929143e-09    5.9195899015929143e-09
Complementarity.........:   3.8376354234753987e-07    3.8376354234753987e-07
Overall NLP error.......:   2.9842834508974261e-03    2.9842834508974261e-03


Number of objective function evaluations             = 472
Number of objective gradient evaluations             = 142
Number of equality constraint evaluations            = 472
Number of inequality constraint evaluations          = 472
Number of equality constraint Jacobian evaluations   = 371
Number of inequality constraint Jacobian evaluations = 371
Number of Lagrangian Hessian evaluations             = 0
Total seconds in IPOPT (w/o function evaluations)    =      7.362
Total seconds in NLP function evaluations            =      3.222


Timing Statistics:

OverallAlgorithm....................:     13.690 (sys:      4.283 wall:     10.584)
 PrintProblemStatistics.............:      0.001 (sys:      0.000 wall:      0.001)
 InitializeIterates.................:      0.044 (sys:      0.016 wall:      0.024)
 UpdateHessian......................:      0.019 (sys:      0.052 wall:      0.012)
 OutputIteration....................:      2.252 (sys:      0.476 wall:      1.248)
 UpdateBarrierParameter.............:      1.382 (sys:      0.738 wall:      1.318)
 ComputeSearchDirection.............:      0.188 (sys:      0.077 wall:      0.178)
 ComputeAcceptableTrialPoint........:      9.130 (sys:      2.654 wall:      7.221)
 AcceptTrialPoint...................:      0.003 (sys:      0.001 wall:      0.004)
 CheckConvergence...................:      0.629 (sys:      0.242 wall:      0.564)
PDSystemSolverTotal.................:      1.494 (sys:      0.664 wall:      1.320)
 PDSystemSolverSolveOnce............:      1.468 (sys:      0.649 wall:      1.289)
 ComputeResiduals...................:      0.018 (sys:      0.004 wall:      0.018)
 StdAugSystemSolverMultiSolve.......:      4.300 (sys:      1.973 wall:      3.735)
 LinearSystemScaling................:      0.000 (sys:      0.000 wall:      0.000)
 LinearSystemSymbolicFactorization..:      0.007 (sys:      0.000 wall:      0.007)
 LinearSystemFactorization..........:      0.000 (sys:      0.000 wall:      0.000)
 LinearSystemBackSolve..............:      2.352 (sys:      0.925 wall:      2.267)
 LinearSystemStructureConverter.....:      0.000 (sys:      0.000 wall:      0.000)
  LinearSystemStructureConverterInit:      0.000 (sys:      0.000 wall:      0.000)
QualityFunctionSearch...............:      0.064 (sys:      0.144 wall:      0.165)
TryCorrector........................:      0.000 (sys:      0.000 wall:      0.000)
Task1...............................:      0.014 (sys:      0.029 wall:      0.036)
Task2...............................:      0.019 (sys:      0.016 wall:      0.028)
Task3...............................:      0.005 (sys:      0.014 wall:      0.015)
Task4...............................:      0.000 (sys:      0.000 wall:      0.000)
Task5...............................:      0.010 (sys:      0.016 wall:      0.021)
Task6...............................:      0.000 (sys:      0.000 wall:      0.000)
Function Evaluations................:      3.460 (sys:      0.531 wall:      3.222)
 Objective function.................:      0.185 (sys:      0.022 wall:      0.148)
 Objective function gradient........:      0.029 (sys:      0.003 wall:      0.029)
 Equality constraints...............:      1.804 (sys:      0.110 wall:      1.715)
 Inequality constraints.............:      0.007 (sys:      0.008 wall:      0.008)
 Equality constraint Jacobian.......:      1.428 (sys:      0.353 wall:      1.317)
 Inequality constraint Jacobian.....:      0.007 (sys:      0.035 wall:      0.005)
 Lagrangian Hessian.................:      0.000 (sys:      0.000 wall:      0.000)

EXIT: Restoration Failed!
Optimization took 10.590665 sec.
Optimization failed.
